ts,epic,buyers_pct,sellers_pct
2026-03-06 03:11:49.006428+03,ETHUSD,86.29,13.71
2026-03-03 22:53:24.224373+03,ETHUSD,88.59,11.41
2026-03-03 22:53:58.749553+03,ETHUSD,88.59,11.41
2026-03-03 22:54:29.524941+03,ETHUSD,88.59,11.41
2026-03-04 18:26:18.750796+03,ETHUSD,86.03,13.97
2026-03-04 18:29:45.205513+03,ETHUSD,85.88,14.12
2026-03-04 18:55:51.912868+03,ETHUSD,85.99,14.01
2026-03-04 19:00:21.503829+03,ETHUSD,85.88,14.12
2026-03-04 19:01:21.715105+03,ETHUSD,85.88,14.12
2026-03-04 19:02:53.497247+03,ETHUSD,85.88,14.12
2026-03-04 19:03:59.460718+03,ETHUSD,85.88,14.12
2026-03-04 19:06:31.951506+03,ETHUSD,85.74,14.26
2026-03-04 19:09:05.553494+03,ETHUSD,85.74,14.26
2026-03-04 19:10:41.743533+03,ETHUSD,85.74,14.26
2026-03-04 19:14:16.883576+03,ETHUSD,86.1,13.9
2026-03-04 20:37:17.135279+03,ETHUSD,83.94,16.06
2026-03-04 20:37:47.892754+03,ETHUSD,83.94,16.06
2026-03-04 20:39:19.884951+03,ETHUSD,83.94,16.06
2026-03-04 20:40:57.99679+03,ETHUSD,83.94,16.06
2026-03-04 21:08:37.070347+03,ETHUSD,83.86,16.14
2026-03-04 21:41:03.983631+03,ETHUSD,83.37,16.63
2026-03-04 22:52:40.872258+03,ETHUSD,84.32,15.68
2026-03-05 00:32:38.751242+03,ETHUSD,82.91,17.09
2026-03-05 01:08:28.686593+03,ETHUSD,83.46,16.54
2026-03-05 01:32:26.60653+03,ETHUSD,83.23,16.77
2026-03-05 04:47:55.787661+03,ETHUSD,83.32,16.68
2026-03-05 07:23:01.638779+03,ETHUSD,83.46,16.54
2026-03-05 07:24:04.9705+03,ETHUSD,83.46,16.54
2026-03-05 07:24:35.725575+03,ETHUSD,83.46,16.54
2026-03-05 07:26:08.407887+03,ETHUSD,83.46,16.54
2026-03-05 07:29:12.776838+03,ETHUSD,83.28,16.72
2026-03-05 07:30:50.131855+03,ETHUSD,83.28,16.72
2026-03-05 07:31:20.969768+03,ETHUSD,83.28,16.72
2026-03-05 07:34:58.048271+03,ETHUSD,83.61,16.39
2026-03-05 07:41:35.127059+03,ETHUSD,83.61,16.39
2026-03-05 07:42:06.077669+03,ETHUSD,83.61,16.39
2026-03-05 12:56:02.724649+03,ETHUSD,84.82,15.18
2026-03-05 12:59:38.664785+03,ETHUSD,84.75,15.25
2026-03-05 13:05:23.361051+03,ETHUSD,84.66,15.34
2026-03-05 13:06:52.614098+03,ETHUSD,84.66,15.34
2026-03-05 13:07:54.158987+03,ETHUSD,84.66,15.34
2026-03-05 13:09:26.724863+03,ETHUSD,84.66,15.34
2026-03-05 13:11:59.715819+03,ETHUSD,84.61,15.39
2026-03-05 13:12:31.457035+03,ETHUSD,84.61,15.39
2026-03-05 13:13:10.427296+03,ETHUSD,84.61,15.39
2026-03-05 13:13:42.350291+03,ETHUSD,84.61,15.39
2026-03-05 13:17:17.511788+03,ETHUSD,84.62,15.38
2026-03-05 13:18:18.890539+03,ETHUSD,84.62,15.38
2026-03-05 13:20:51.061758+03,ETHUSD,84.62,15.38
2026-03-05 13:22:23.917183+03,ETHUSD,84.67,15.33
2026-03-05 13:23:28.763099+03,ETHUSD,84.67,15.33
2026-03-05 13:23:56.349073+03,ETHUSD,84.67,15.33
2026-03-05 13:25:29.106729+03,ETHUSD,84.67,15.33
2026-03-05 13:37:58.306954+03,ETHUSD,85.19,14.81
2026-03-05 13:39:29.924189+03,ETHUSD,85.19,14.81
2026-03-05 13:41:02.302793+03,ETHUSD,85.19,14.81
2026-03-05 13:42:03.384925+03,ETHUSD,85.19,14.81
2026-03-05 13:43:39.196046+03,ETHUSD,85.48,14.52
2026-03-05 13:47:21.042625+03,ETHUSD,85.48,14.52
2026-03-05 13:54:31.053771+03,ETHUSD,85.52,14.48
2026-03-05 13:55:02.049719+03,ETHUSD,85.52,14.48
2026-03-05 13:55:39.316758+03,ETHUSD,85.52,14.48
2026-03-05 14:01:16.396189+03,ETHUSD,85.49,14.51
