id,timeframe,computed_at,start_time,end_time,rows,latest_close,latest_score,buyers_plus_sellers_mean_abs_diff
3849,15m,2026-03-02 17:02:37.082309+03,2026-01-31 02:00:00+03,2026-03-02 16:45:00+03,2894,1927.365,-0.4905659841504261,6.383590576973947e-17
3851,1m,2026-03-02 17:03:42.635087+03,2026-01-31 02:11:00+03,2026-03-02 17:01:00+03,42926,1926.185,0.07186473177473884,0
3853,15m,2026-03-02 17:03:43.403558+03,2026-01-31 02:00:00+03,2026-03-02 16:45:00+03,2894,1927.365,-0.4905659841504261,6.383590576973947e-17
3856,5m,2026-03-02 17:04:44.51403+03,2026-01-31 02:10:00+03,2026-03-02 16:55:00+03,8606,1927.365,-0.6565832840065824,2.642036665619708e-17
3858,30m,2026-03-02 17:04:44.759468+03,2026-01-31 02:00:00+03,2026-03-02 16:30:00+03,1450,1927.365,-0.11580056966008087,7.840471567008001e-17
3860,5m,2026-03-02 17:05:45.504744+03,2026-01-31 02:10:00+03,2026-03-02 16:55:00+03,8606,1927.365,-0.6565832840065824,2.642036665619708e-17
3862,30m,2026-03-02 17:05:45.725915+03,2026-01-31 02:00:00+03,2026-03-02 16:30:00+03,1450,1927.365,-0.11580056966008087,7.840471567008001e-17
3863,1m,2026-03-02 17:06:46.338154+03,2026-01-31 02:11:00+03,2026-03-02 17:04:00+03,42929,1925.645,-0.03653920476209348,0
3865,15m,2026-03-02 17:06:47.004928+03,2026-01-31 02:00:00+03,2026-03-02 16:45:00+03,2894,1927.365,-0.4905659841504261,6.383590576973947e-17
3868,5m,2026-03-02 17:07:48.159545+03,2026-01-31 02:10:00+03,2026-03-02 17:00:00+03,8607,1925.645,0.4180373956119338,2.8068378082773793e-17
3870,30m,2026-03-02 17:07:48.382969+03,2026-01-31 02:00:00+03,2026-03-02 16:30:00+03,1450,1927.365,-0.11580056966008087,7.840471567008001e-17
3871,1m,2026-03-02 17:08:47.193618+03,2026-01-31 02:11:00+03,2026-03-02 17:06:00+03,42931,1928.375,-0.03653920476209348,0
3873,15m,2026-03-02 17:08:47.865663+03,2026-01-31 02:00:00+03,2026-03-02 16:45:00+03,2894,1927.365,-0.4905659841504261,6.383590576973947e-17
3876,5m,2026-03-02 17:09:48.188353+03,2026-01-31 02:10:00+03,2026-03-02 17:00:00+03,8607,1925.645,0.4180373956119338,2.8068378082773793e-17
3878,30m,2026-03-02 17:09:48.41206+03,2026-01-31 02:00:00+03,2026-03-02 16:30:00+03,1450,1927.365,-0.11580056966008087,7.840471567008001e-17
3879,1m,2026-03-02 17:10:48.437821+03,2026-01-31 02:11:00+03,2026-03-02 17:08:00+03,42933,1929.985,-1.8104397637854337,0
3881,15m,2026-03-02 17:10:49.133622+03,2026-01-31 02:00:00+03,2026-03-02 16:45:00+03,2894,1927.365,-0.4905659841504261,6.383590576973947e-17
